0,0=6.27426,6.27426,9.09286,8.82679
0,1=8.39844,6.27379,-86.4529,12.5502
0,2=11.8503,7.74865,17.0041,16.4679
0,3=10.7242,11.3661,22.4773,11.0525
0,4=6.39028,12.4235,27.3948,3.44245
0,5=0.777739,15.027,-0.0165378,5.54234
1,0=6.2742,9.09282,12.6161,-86.3841
1,1=8.25849,8.97032,17.02,16.9221
1,2=12.2365,-86.4789,-76.5985,22.516
1,3=16.6732,16.1752,29.4049,28.7536
1,4=13.7126,20.8309,37.9802,24.84
1,5=3.19409,0,0,-0.488
2,0=9.0928,12.6159,17.0199,17.0201
2,1=-86.3918,12.6155,22.5251,-76.475
2,2=16.6603,16.9667,29.4064,29.317
2,3=22.1924,-76.3932,-61.08,38.008
2,4=28.9326,29.3188,48.7292,48.76
2,5=15.83,37.9599,62.2,48.7428
3,0=12.4448,16.9726,22.445,22.5251
3,1=17.0194,17.0157,29.4061,29.4064
3,2=-76.4753,22.5235,38.008,-60.9921
3,3=29.2664,29.1646,48.76,48.561
3,4=37.9497,-61.2426,61.9428,62.1999
3,5=48.7574,48.7291,79,62.1914
4,0=16.7852,22.4166,11.0956,29.4061
4,1=22.2272,22.5177,37.6127,38.008
4,2=29.4063,29.4058,48.7577,48.76
4,3=-60.9929,38.007,62.1995,62.2
4,4=48.7543,48.7543,78.9439,79
4,5=62.1997,62.1981,100,79
5,0=20.9449,10.8365,7.47144,18.1704
5,1=26.8061,8.47277,34.4221,48.7423
5,2=37.8988,36.7481,48.5521,62.2
5,3=48.7514,48.5411,62.1961,79
5,4=62.086,62.151,78.8486,100
